Experiment,14.4
Plot title,(b)

Number of,2
plots

Number of,1001
points

Time,N,Square root of C at cutoff distance
0,200,200
0.1,200,200
0.2,199.974,199.974
0.3,199.924,199.924
0.4,199.85,199.85
0.5,199.755,199.755
0.6,199.639,199.639
0.7,199.504,199.504
0.8,199.35,199.35
0.9,199.179,199.179
1,198.993,198.992
1.1,198.791,198.79
1.2,198.575,198.574
1.3,198.345,198.345
1.4,198.103,198.103
1.5,197.85,197.849
1.6,197.585,197.584
1.7,197.311,197.31
1.8,197.027,197.025
1.9,196.734,196.732
2,196.433,196.431
2.1,196.124,196.122
2.2,195.809,195.807
2.3,195.486,195.484
2.4,195.158,195.156
2.5,194.825,194.822
2.6,194.486,194.483
2.7,194.142,194.14
2.8,193.795,193.792
2.9,193.443,193.44
3,193.088,193.085
3.1,192.73,192.726
3.2,192.369,192.365
3.3,192.005,192.001
3.4,191.639,191.635
3.5,191.271,191.267
3.6,190.901,190.897
3.7,190.53,190.525
3.8,190.157,190.153
3.9,189.784,189.779
4,189.409,189.404
4.1,189.034,189.029
4.2,188.658,188.653
4.3,188.282,188.277
4.4,187.905,187.9
4.5,187.529,187.524
4.6,187.153,187.148
4.7,186.777,186.771
4.8,186.401,186.396
4.9,186.026,186.02
5,185.651,185.646
5.1,185.277,185.272
5.2,184.904,184.898
5.3,184.531,184.526
5.4,184.159,184.154
5.5,183.789,183.784
5.6,183.419,183.414
5.7,183.051,183.046
5.8,182.684,182.679
5.9,182.318,182.313
6,181.953,181.949
6.1,181.59,181.586
6.2,181.228,181.224
6.3,180.868,180.864
6.4,180.509,180.505
6.5,180.151,180.148
6.6,179.795,179.792
6.7,179.441,179.438
6.8,179.088,179.086
6.9,178.737,178.735
7,178.388,178.386
7.1,178.04,178.039
7.2,177.694,177.693
7.3,177.35,177.349
7.4,177.007,177.007
7.5,176.666,176.666
7.6,176.327,176.328
7.7,175.99,175.991
7.8,175.654,175.656
7.9,175.32,175.322
8,174.988,174.991
8.1,174.658,174.661
8.2,174.329,174.333
8.3,174.003,174.007
8.4,173.678,173.683
8.5,173.355,173.36
8.6,173.033,173.04
8.7,172.714,172.721
8.8,172.396,172.404
8.9,172.08,172.088
9,171.766,171.775
9.1,171.454,171.463
9.2,171.143,171.153
9.3,170.834,170.845
9.4,170.527,170.539
9.5,170.222,170.235
9.6,169.918,169.932
9.7,169.616,169.631
9.8,169.316,169.332
9.9,169.018,169.034
10,168.721,168.739
10.1,168.426,168.445
10.2,168.133,168.152
10.3,167.841,167.862
10.4,167.552,167.573
10.5,167.263,167.286
10.6,166.977,167
10.7,166.692,166.716
10.8,166.409,166.434
10.9,166.127,166.154
11,165.847,165.875
11.1,165.569,165.598
11.2,165.292,165.322
11.3,165.017,165.048
11.4,164.743,164.776
11.5,164.471,164.505
11.6,164.201,164.236
11.7,163.932,163.968
11.8,163.665,163.702
11.9,163.399,163.438
12,163.134,163.175
12.1,162.871,162.913
12.2,162.61,162.653
12.3,162.35,162.395
12.4,162.092,162.138
12.5,161.835,161.882
12.6,161.579,161.628
12.7,161.325,161.375
12.8,161.073,161.124
12.9,160.821,160.874
13,160.572,160.626
13.1,160.323,160.379
13.2,160.076,160.134
13.3,159.83,159.889
13.4,159.586,159.647
13.5,159.343,159.405
13.6,159.101,159.165
13.7,158.861,158.927
13.8,158.622,158.689
13.9,158.384,158.453
14,158.148,158.218
14.1,157.913,157.985
14.2,157.679,157.753
14.3,157.446,157.522
14.4,157.215,157.292
14.5,156.985,157.064
14.6,156.756,156.837
14.7,156.528,156.611
14.8,156.302,156.386
14.9,156.076,156.163
15,155.852,155.94
15.1,155.629,155.719
15.2,155.407,155.499
15.3,155.187,155.281
15.4,154.967,155.063
15.5,154.749,154.847
15.6,154.532,154.632
15.7,154.316,154.417
15.8,154.101,154.204
15.9,153.887,153.993
16,153.674,153.782
16.1,153.463,153.572
16.2,153.252,153.364
16.3,153.043,153.156
16.4,152.834,152.95
16.5,152.627,152.744
16.6,152.42,152.54
16.7,152.215,152.337
16.8,152.011,152.135
16.9,151.807,151.933
17,151.605,151.733
17.1,151.404,151.534
17.2,151.203,151.336
17.3,151.004,151.139
17.4,150.806,150.942
17.5,150.608,150.747
17.6,150.412,150.553
17.7,150.216,150.36
17.8,150.022,150.167
17.9,149.828,149.976
18,149.636,149.785
18.1,149.444,149.596
18.2,149.253,149.407
18.3,149.063,149.22
18.4,148.874,149.033
18.5,148.686,148.847
18.6,148.498,148.662
18.7,148.312,148.478
18.8,148.126,148.295
18.9,147.942,148.112
19,147.758,147.931
19.1,147.575,147.75
19.2,147.393,147.57
19.3,147.211,147.391
19.4,147.031,147.213
19.5,146.851,147.036
19.6,146.672,146.859
19.7,146.494,146.684
19.8,146.317,146.509
19.9,146.141,146.335
20,145.965,146.162
20.1,145.79,145.989
20.2,145.616,145.817
20.3,145.443,145.647
20.4,145.27,145.476
20.5,145.098,145.307
20.6,144.927,145.138
20.7,144.757,144.971
20.8,144.587,144.804
20.9,144.418,144.637
21,144.25,144.472
21.1,144.083,144.307
21.2,143.916,144.143
21.3,143.75,143.979
21.4,143.585,143.816
21.5,143.42,143.654
21.6,143.256,143.493
21.7,143.093,143.332
21.8,142.931,143.172
21.9,142.769,143.013
22,142.608,142.855
22.1,142.447,142.697
22.2,142.288,142.54
22.3,142.128,142.383
22.4,141.97,142.227
22.5,141.812,142.072
22.6,141.655,141.917
22.7,141.498,141.763
22.8,141.343,141.61
22.9,141.187,141.457
23,141.033,141.305
23.1,140.879,141.154
23.2,140.725,141.003
23.3,140.572,140.853
23.4,140.42,140.704
23.5,140.269,140.555
23.6,140.118,140.406
23.7,139.967,140.259
23.8,139.817,140.111
23.9,139.668,139.965
24,139.52,139.819
24.1,139.372,139.674
24.2,139.224,139.529
24.3,139.077,139.385
24.4,138.931,139.241
24.5,138.785,139.098
24.6,138.64,138.955
24.7,138.495,138.813
24.8,138.351,138.672
24.9,138.208,138.531
25,138.065,138.391
25.1,137.922,138.251
25.2,137.78,138.112
25.3,137.639,137.973
25.4,137.498,137.835
25.5,137.357,137.697
25.6,137.218,137.56
25.7,137.078,137.424
25.8,136.94,137.288
25.9,136.801,137.152
26,136.663,137.017
26.1,136.526,136.882
26.2,136.389,136.748
26.3,136.253,136.615
26.4,136.117,136.482
26.5,135.982,136.349
26.6,135.847,136.217
26.7,135.713,136.086
26.8,135.579,135.955
26.9,135.446,135.824
27,135.313,135.694
27.1,135.18,135.564
27.2,135.048,135.435
27.3,134.917,135.306
27.4,134.786,135.178
27.5,134.655,135.05
27.6,134.525,134.923
27.7,134.395,134.796
27.8,134.266,134.669
27.9,134.138,134.543
28,134.009,134.418
28.1,133.881,134.293
28.2,133.754,134.168
28.3,133.627,134.044
28.4,133.5,133.92
